TimeStamp,Ch4,C2H6,Latitude,Longitude
08/18/2023 02:28:13,2.1832,21.4,43.014175415,-84.2448730469
08/18/2023 02:28:14,2.1748,21.6302,43.0141830444,-84.2449417114
08/18/2023 02:28:15,2.17789,21.131,43.0141830444,-84.245010376
08/18/2023 02:28:16,2.1805,20.7725,43.0141868591,-84.2450714111
08/18/2023 02:28:17,2.17906,21.1262,43.0141906738,-84.2451324463
08/18/2023 02:28:18,2.18079,21.5352,43.0141906738,-84.2451858521
08/18/2023 02:28:19,2.18237,20.8277,43.0141906738,-84.2452468872
08/18/2023 02:28:20,2.17487,20.6096,43.0141906738,-84.2453079224
08/18/2023 02:28:21,2.17851,20.7122,43.0141944885,-84.2453689575
08/18/2023 02:28:22,2.17924,20.9847,43.0141944885,-84.2454299927
08/18/2023 02:28:23,2.1775,21.0252,43.0141944885,-84.2454986572
08/18/2023 02:28:24,2.1788,20.8497,43.0141983032,-84.2455673218
08/18/2023 02:28:25,2.17862,20.6111,43.0141983032,-84.2456359863
08/18/2023 02:28:26,2.17827,21.1674,43.0141983032,-84.2456970215
08/18/2023 02:28:27,2.17459,21.0132,43.0142021179,-84.2457580566
08/18/2023 02:28:28,2.17833,20.8376,43.0141983032,-84.2458114624
08/18/2023 02:28:29,2.17504,20.848,43.0141830444,-84.2458496094
08/18/2023 02:28:30,2.1785,21.1713,43.0141601562,-84.2458724976
08/18/2023 02:28:31,2.17536,21.1915,43.0141372681,-84.245880127
08/18/2023 02:28:32,2.17865,20.7476,43.0141181946,-84.2458724976
08/18/2023 02:28:33,2.17683,20.5726,43.0140953064,-84.2458496094
08/18/2023 02:28:34,2.18012,20.5817,43.0140724182,-84.2458114624
08/18/2023 02:28:35,2.17636,20.1932,43.0140457153,-84.245765686
08/18/2023 02:28:36,2.17457,20.5199,43.0140151978,-84.2457122803
08/18/2023 02:28:37,2.1774,20.6303,43.0139770508,-84.2456512451
08/18/2023 02:28:38,2.17988,20.7109,43.0139312744,-84.2455825806
08/18/2023 02:28:39,2.17448,20.7062,43.0138816833,-84.2455062866
08/18/2023 02:28:40,2.17409,20.8428,43.0138282776,-84.2454223633
08/18/2023 02:28:41,2.17383,20.3809,43.0137748718,-84.2453384399
08/18/2023 02:28:42,2.1799,20.9684,43.0137176514,-84.2452468872
08/18/2023 02:28:43,2.17796,20.2127,43.0136604309,-84.2451553345
08/18/2023 02:28:44,2.17783,20.4301,43.0136070251,-84.2450714111
08/18/2023 02:28:45,2.17907,20.2201,43.0135498047,-84.2449874878
08/18/2023 02:28:46,2.17478,20.3157,43.0134887695,-84.2448959351
08/18/2023 02:28:47,2.17633,20.1037,43.0134277344,-84.2447967529
08/18/2023 02:28:48,2.17417,20.405,43.0133666992,-84.2447052002
08/18/2023 02:28:49,2.17996,20.3021,43.0133094788,-84.2446212769
08/18/2023 02:28:50,2.17707,20.0757,43.0132598877,-84.2445526123
08/18/2023 02:28:51,2.17715,20.3084,43.013217926,-84.2444915771
08/18/2023 02:28:52,2.17513,20.1698,43.0131874084,-84.2444458008
08/18/2023 02:28:53,2.17817,19.9632,43.013168335,-84.2444152832
08/18/2023 02:28:54,2.17583,20.0228,43.0131607056,-84.2444000244
08/18/2023 02:28:55,2.17932,19.5675,43.0131568909,-84.2444000244
08/18/2023 02:28:56,2.18011,19.6919,43.0131568909,-84.2444000244
08/18/2023 02:28:57,2.18449,19.8681,43.0131568909,-84.2444000244
08/18/2023 02:28:58,2.18578,19.507,43.0131568909,-84.2444000244
08/18/2023 02:28:59,2.18368,19.8215,43.0131568909,-84.2444000244
08/18/2023 02:29:00,2.18359,19.7121,43.0131568909,-84.2444000244
08/18/2023 02:29:01,2.18342,20.1563,43.0131568909,-84.2444000244
08/18/2023 02:29:02,2.17714,19.6612,43.0131568909,-84.2444000244
08/18/2023 02:29:03,2.18004,19.729,43.0131568909,-84.2444000244
08/18/2023 02:29:04,2.17912,20.084,43.0131568909,-84.2444000244
08/18/2023 02:29:05,2.1765,19.97,43.0131568909,-84.2444000244
08/18/2023 02:29:06,2.17625,19.9746,43.0131568909,-84.2444000244
08/18/2023 02:29:07,2.17772,19.7225,43.0131568909,-84.2444000244
08/18/2023 02:29:08,2.1736,20.0855,43.0131568909,-84.2444000244
08/18/2023 02:29:09,2.17381,20.0964,43.0131568909,-84.2444000244
08/18/2023 02:29:10,2.17987,18.8419,43.0131568909,-84.2444000244
08/18/2023 02:29:11,2.17887,19.3522,43.0131568909,-84.2444000244
08/18/2023 02:29:12,2.17636,19.3803,43.0131568909,-84.2444000244
08/18/2023 02:29:13,2.1813,19.2053,43.0131568909,-84.2444000244
08/18/2023 02:29:14,2.17914,19.7706,43.0131568909,-84.2444000244
08/18/2023 02:29:15,2.18257,19.4439,43.0131568909,-84.2444000244
08/18/2023 02:29:16,2.18446,19.864,43.0131568909,-84.2444000244
08/18/2023 02:29:17,2.18575,19.3349,43.0131568909,-84.2444000244
08/18/2023 02:29:18,2.18047,19.3656,43.0131530762,-84.244392395
08/18/2023 02:29:19,2.17858,19.345,43.0131454468,-84.2443771362
08/18/2023 02:29:20,2.1795,19.1926,43.013130188,-84.244354248
08/18/2023 02:29:21,2.17708,19.4637,43.0131111145,-84.2443237305
08/18/2023 02:29:22,2.17861,19.1147,43.0130844116,-84.2442855835
08/18/2023 02:29:23,2.17626,19.6135,43.0130844116,-84.2442855835
08/18/2023 02:29:24,2.17473,18.9647,43.013053894,-84.2442321777
08/18/2023 02:29:25,2.17415,19.2236,43.0130157471,-84.244178772
08/18/2023 02:29:26,2.1758,19.1216,43.0129699707,-84.2441101074
08/18/2023 02:29:27,2.17312,19.3407,43.0129203796,-84.2440338135
08/18/2023 02:29:28,2.17356,19.5038,43.0128631592,-84.2439422607
08/18/2023 02:29:29,2.17003,19.0851,43.0127983093,-84.243850708
08/18/2023 02:29:30,2.17218,18.7161,43.0127334595,-84.2437515259
08/18/2023 02:29:31,2.17079,18.7763,43.0126609802,-84.2436447144
08/18/2023 02:29:32,2.17369,18.8654,43.0125808716,-84.2435302734
08/18/2023 02:29:33,2.16879,18.7409,43.0125007629,-84.2434082031
08/18/2023 02:29:34,2.17213,18.8952,43.0124168396,-84.2432861328
08/18/2023 02:29:35,2.17041,18.8315,43.0123291016,-84.2431640625
08/18/2023 02:29:36,2.17479,18.858,43.0122375488,-84.2430343628
08/18/2023 02:29:37,2.17149,19.0051,43.0121459961,-84.2428970337
08/18/2023 02:29:37,2.17137,18.705,43.0120544434,-84.2427597046
08/18/2023 02:29:38,2.17348,18.8467,43.0119628906,-84.2426223755
08/18/2023 02:29:39,2.17372,18.9091,43.0118675232,-84.2424850464
08/18/2023 02:29:40,2.16813,18.5916,43.0117721558,-84.2423477173
08/18/2023 02:29:42,2.17154,19.1012,43.0116729736,-84.2422103882
08/18/2023 02:29:43,2.17129,18.864,43.0115737915,-84.2420654297
08/18/2023 02:29:44,2.1702,18.6203,43.0113754272,-84.2417755127
08/18/2023 02:29:45,2.16934,18.7381,43.0112762451,-84.2416381836
08/18/2023 02:29:46,2.16894,18.4489,43.011177063,-84.2414932251
08/18/2023 02:29:47,2.17104,18.4119,43.0110778809,-84.2413482666
08/18/2023 02:29:48,2.16929,18.3397,43.0109786987,-84.2412033081
08/18/2023 02:29:49,2.16906,18.6252,43.0108795166,-84.2410583496
08/18/2023 02:29:50,2.17415,18.6465,43.0107803345,-84.2409133911
08/18/2023 02:29:51,2.17053,18.458,43.0106811523,-84.2407608032
08/18/2023 02:29:52,2.1627,18.8156,43.0106811523,-84.2407608032
08/18/2023 02:29:53,2.17129,18.0262,43.0105819702,-84.2406158447
08/18/2023 02:29:54,2.17129,18.4013,43.0104827881,-84.2404708862
08/18/2023 02:29:55,2.16833,17.9959,43.010383606,-84.2403259277
08/18/2023 02:29:56,2.16856,17.9955,43.0102806091,-84.2401809692
08/18/2023 02:29:57,2.16667,18.3424,43.010181427,-84.2400360107
08/18/2023 02:29:58,2.16844,18.4725,43.0100784302,-84.2398834229
08/18/2023 02:29:59,2.17016,17.9773,43.009979248,-84.2397384644
08/18/2023 02:30:00,2.16718,18.0002,43.0098762512,-84.2395935059
08/18/2023 02:30:01,2.17243,18.3472,43.0097770691,-84.2394485474
08/18/2023 02:30:02,2.1691,18.0735,43.0096817017,-84.2393035889
08/18/2023 02:30:03,2.16818,18.4776,43.0095863342,-84.2391662598
08/18/2023 02:30:04,2.16508,17.9906,43.0094909668,-84.2390289307
08/18/2023 02:30:05,2.16608,18.3592,43.0093955994,-84.2388916016
08/18/2023 02:30:06,2.16475,18.6898,43.0093040466,-84.2387542725
08/18/2023 02:30:06,2.16761,18.309,43.0092086792,-84.2386169434
08/18/2023 02:30:07,2.1658,18.09,43.0091171265,-84.2384796143
08/18/2023 02:30:08,2.16572,18.2348,43.009021759,-84.2383422852
08/18/2023 02:30:09,2.16643,17.7795,43.0089225769,-84.2382049561
08/18/2023 02:30:10,2.17066,18.326,43.0088272095,-84.238067627
08/18/2023 02:30:11,2.17217,17.9437,43.008731842,-84.2379226685
08/18/2023 02:30:12,2.16749,18.3247,43.0086364746,-84.2377853394
08/18/2023 02:30:13,2.17044,18.1424,43.0085411072,-84.2376403809
08/18/2023 02:30:14,2.16984,17.9365,43.0084457397,-84.2375030518
08/18/2023 02:30:15,2.16586,17.8107,43.0083503723,-84.2373580933
08/18/2023 02:30:16,2.16963,17.9586,43.0082550049,-84.2372207642
08/18/2023 02:30:17,2.16718,18.1273,43.0081634521,-84.2370758057
08/18/2023 02:30:18,2.16605,17.7399,43.0080680847,-84.2369384766
08/18/2023 02:30:19,2.17174,17.9775,43.0079727173,-84.2368011475
08/18/2023 02:30:20,2.16279,18.2082,43.0078773499,-84.2366638184
08/18/2023 02:30:21,2.16529,17.5897,43.0077857971,-84.2365264893
08/18/2023 02:30:22,2.16627,18.0476,43.0076942444,-84.2363967896
08/18/2023 02:30:23,2.16623,17.9568,43.0076026917,-84.2362594604
08/18/2023 02:30:24,2.16839,17.5918,43.0075111389,-84.2361297607
08/18/2023 02:30:25,2.16607,17.3343,43.0074157715,-84.2359924316
08/18/2023 02:30:26,2.17167,17.7695,43.0073204041,-84.2358551025
08/18/2023 02:30:27,2.16535,17.2575,43.0072250366,-84.2357177734
08/18/2023 02:30:28,2.16461,17.6441,43.0071296692,-84.2355804443
08/18/2023 02:30:29,2.16579,17.1159,43.0070343018,-84.2354431152
08/18/2023 02:30:30,2.16488,18.1632,43.0069389343,-84.2353057861
08/18/2023 02:30:31,2.16744,17.7079,43.0068435669,-84.235168457
08/18/2023 02:30:32,2.17002,17.3809,43.0067443848,-84.2350311279
08/18/2023 02:30:33,2.16635,17.572,43.0066452026,-84.2349014282
08/18/2023 02:30:34,2.16198,17.9885,43.0065460205,-84.2347793579
